                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3753,                 2.7448,                  1.179,                 1.1851,                 5.1259,                 1.0788,                0.34864,                0.45473,                 0.3745,                0.23331,                 1.2544,                  2.217,                 1.0719,                 1.1223,                 4.0028,                 1.0013,             0.00033306,             0.00033306,             0.00033306
                      2,                 1.3089,                 1.8398,                 1.1418,                 1.2173,                 2.8229,                 1.0773,                0.49503,                0.55344,                0.53077,                0.33019,                 1.2098,                 1.4434,                 1.0475,                 1.1335,                 2.1422,                0.99134,              0.0006444,              0.0006444,              0.0006444
                      3,                 1.2839,                 1.5411,                 1.1369,                 1.2435,                 2.0471,                 1.0799,                0.60318,                0.62911,                0.67142,                0.41859,                 1.1661,                 1.2481,                 1.0189,                 1.1395,                 1.5845,                0.99446,             0.00093375,             0.00093375,             0.00093375
                      4,                  1.243,                 1.3828,                 1.1239,                 1.2508,                 1.7283,                 1.0825,                0.64693,                0.65297,                0.70942,                0.45217,                 1.1719,                 1.1574,                 1.0271,                 1.1619,                 1.3809,                0.99247,               0.000901,               0.000901,               0.000901
                      5,                 1.2034,                 1.3084,                 1.1003,                 1.2276,                 1.5591,                 1.0629,                 0.6783,                0.66743,                0.73807,                0.47166,                 1.1286,                 1.0917,                  1.007,                 1.1516,                 1.2657,                0.96152,               0.000901,               0.000901,               0.000901
                      6,                   1.16,                 1.2012,                 1.0818,                    1.2,                  1.406,                 1.0447,                0.68319,                 0.7203,                0.76684,                0.50831,                 1.0531,                0.98587,                0.98029,                 1.1028,                 1.1781,                0.96608,               0.000868,               0.000868,               0.000868
                      7,                 1.1347,                 1.1578,                 1.0727,                 1.1868,                 1.3417,                 1.0433,                0.76118,                0.75226,                0.83094,                 0.5735,                 1.0298,                0.91473,                0.96677,                 1.0653,                 1.0024,                0.94948,               0.000835,               0.000835,               0.000835
                      8,                 1.1029,                 1.0848,                 1.0533,                 1.1423,                 1.2676,                 1.0233,                0.74178,                0.77674,                0.83546,                0.56658,                 1.0523,                0.85985,                0.97479,                 1.0977,                  0.956,                0.94068,               0.000802,               0.000802,               0.000802
                      9,                 1.0927,                 1.0415,                 1.0448,                 1.1546,                 1.1922,                 1.0225,                0.79349,                0.75567,                0.85268,                0.59875,                0.98543,                  0.807,                0.93431,                 1.0201,                0.90537,                 0.9126,               0.000769,               0.000769,               0.000769
                     10,                 1.0679,                 1.0015,                 1.0363,                 1.1273,                 1.1437,                 1.0129,                0.83015,                0.76807,                0.88024,                0.63602,                0.96894,                0.77816,                0.93921,                0.99222,                0.81195,                0.90347,               0.000736,               0.000736,               0.000736
