                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8051,                 3.2683,                 1.8729,                 1.5174,                 5.1551,                 1.6711,                0.65348,                0.33763,                0.36352,                0.14914,                 1.6927,                 2.9207,                 1.7918,                 1.5742,                 6.3705,                 1.6717,             0.00033231,             0.00033231,             0.00033231
                      2,                 1.7238,                 2.5287,                 1.7813,                 1.4695,                 4.0872,                 1.5675,                0.51882,                0.35824,                0.36342,                0.16247,                 1.7199,                 2.9769,                 1.9077,                 1.5769,                 5.2236,                 1.6916,             0.00065466,             0.00065466,             0.00065466
                      3,                 1.7105,                 2.3672,                 1.7629,                 1.5288,                 3.5668,                 1.5857,                0.49143,                0.40075,                0.40371,                0.19281,                 1.9268,                 3.0356,                   2.07,                 1.6884,                 4.5746,                 1.7871,             0.00096601,             0.00096601,             0.00096601
                      4,                 1.6968,                 2.1882,                 1.7461,                 1.5038,                 3.0799,                 1.5721,                0.68935,                0.42992,                0.40249,                0.23964,                 1.6289,                 2.0992,                 1.8003,                 1.6122,                 3.1452,                 1.7488,              0.0009505,              0.0009505,              0.0009505
                      5,                 1.6227,                   2.09,                 1.7031,                 1.4633,                 2.8333,                 1.5553,                 0.6048,                0.31913,                0.36058,                 0.1777,                 1.7755,                 2.4067,                 1.9961,                 1.4653,                 3.0854,                 1.6883,              0.0009505,              0.0009505,              0.0009505
                      6,                 1.6166,                 2.0152,                 1.6905,                 1.4685,                 2.6486,                 1.5433,                 0.4762,                0.49261,                0.45505,                0.22169,                 1.5068,                 2.2991,                 1.6866,                 1.5099,                 3.0125,                 1.5769,               0.000934,               0.000934,               0.000934
                      7,                 1.5921,                 1.9435,                 1.6686,                 1.4608,                    2.5,                 1.5149,                0.68705,                0.45591,                0.56975,                0.29872,                 1.6301,                 1.7843,                 1.7492,                 1.5252,                 2.4359,                 1.5889,              0.0009175,              0.0009175,              0.0009175
                      8,                 1.5748,                 1.8892,                 1.6647,                 1.4707,                 2.4104,                 1.5275,                0.60461,                0.42555,                0.49785,                0.24411,                 1.6467,                 1.7296,                 1.7801,                 1.5512,                 2.2995,                 1.6054,               0.000901,               0.000901,               0.000901
                      9,                  1.584,                 1.8319,                 1.6449,                 1.4649,                 2.3217,                 1.5075,                 0.6125,                0.38006,                0.37644,                 0.1963,                 1.6758,                 1.9175,                 1.7998,                  1.657,                 2.3735,                 1.6495,              0.0008845,              0.0008845,              0.0008845
                     10,                 1.5443,                 1.7956,                 1.6337,                 1.4485,                 2.2491,                 1.4983,                0.61162,                0.41892,                0.54044,                0.29264,                 1.5225,                 1.6425,                 1.6611,                 1.4645,                 1.9403,                 1.5106,               0.000868,               0.000868,               0.000868
                     11,                 1.5195,                 1.7417,                 1.6257,                 1.4399,                 2.1405,                 1.4912,                0.64497,                0.55769,                0.60806,                0.31725,                 1.4353,                 1.5698,                 1.6178,                 1.4372,                  1.997,                 1.5371,              0.0008515,              0.0008515,              0.0008515
                     12,                 1.5311,                 1.7457,                 1.6302,                 1.4384,                 2.1587,                 1.4852,                0.86627,                0.48924,                0.68626,                 0.3595,                 1.5137,                 1.5337,                 1.6313,                 1.3817,                 1.7548,                 1.4787,               0.000835,               0.000835,               0.000835
                     13,                 1.5157,                 1.6621,                 1.6141,                 1.4525,                 2.0338,                 1.4841,                0.74348,                0.49149,                0.61566,                 0.3132,                 1.5814,                 1.4407,                  1.694,                 1.5949,                  1.756,                 1.6169,              0.0008185,              0.0008185,              0.0008185
                     14,                 1.5021,                 1.6668,                 1.5855,                 1.4422,                 2.0256,                 1.4648,                0.76083,                0.53611,                0.65697,                   0.35,                 1.5425,                 1.4217,                 1.6332,                  1.501,                 1.6267,                 1.5716,               0.000802,               0.000802,               0.000802
                     15,                 1.4782,                 1.6196,                 1.5762,                 1.4238,                 1.9647,                 1.4552,                0.66082,                0.59416,                 0.6909,                0.39343,                 1.5364,                 1.5021,                 1.6521,                 1.4528,                 1.8006,                 1.4694,              0.0007855,              0.0007855,              0.0007855
                     16,                 1.4614,                 1.5634,                 1.5664,                 1.4108,                 1.9069,                 1.4548,                0.69704,                0.63745,                0.66982,                0.35595,                 1.6606,                 1.4258,                 1.8405,                 1.5201,                 1.6786,                 1.6065,               0.000769,               0.000769,               0.000769
                     17,                 1.4778,                 1.5692,                 1.5724,                 1.4466,                 1.8948,                 1.4629,                 0.6438,                0.60198,                0.63809,                 0.3369,                  1.575,                 1.4305,                 1.7372,                   1.44,                 1.7903,                 1.5072,              0.0007525,              0.0007525,              0.0007525
                     18,                 1.4811,                 1.5577,                  1.583,                 1.4353,                 1.8804,                 1.4746,                 0.7423,                0.63875,                0.67687,                0.36295,                 1.5549,                  1.394,                 1.6924,                 1.5042,                  1.529,                 1.6139,               0.000736,               0.000736,               0.000736
                     19,                 1.4627,                  1.537,                 1.5624,                 1.4265,                 1.8461,                 1.4543,                0.76033,                0.55409,                0.66736,                0.35979,                 1.6817,                 1.5439,                 1.7819,                  1.548,                 1.8679,                 1.5334,              0.0007195,              0.0007195,              0.0007195
                     20,                 1.4439,                 1.5285,                 1.5603,                 1.4107,                 1.8419,                 1.4665,                0.51561,                0.68837,                0.73205,                0.39692,                 1.5678,                 1.3034,                 1.7112,                 1.6198,                 1.3105,                 1.7127,               0.000703,               0.000703,               0.000703
                     21,                 1.4636,                 1.5422,                 1.5748,                 1.4203,                 1.8516,                  1.465,                0.66693,                0.55417,                0.65079,                 0.3475,                 1.4946,                 1.4631,                 1.6687,                 1.5644,                 1.7006,                 1.5915,              0.0006865,              0.0006865,              0.0006865
                     22,                 1.4266,                 1.5102,                 1.5534,                 1.4006,                 1.8194,                  1.458,                0.58084,                0.64028,                0.61526,                0.38626,                 1.3803,                 1.3895,                 1.5716,                 1.3564,                  1.548,                 1.5556,                0.00067,                0.00067,                0.00067
                     23,                 1.4036,                 1.4823,                 1.5405,                 1.3732,                 1.7771,                 1.4503,                0.52728,                0.72834,                0.66532,                0.38677,                 1.4063,                  1.212,                 1.5552,                 1.3052,                 1.5329,                  1.374,              0.0006535,              0.0006535,              0.0006535
                     24,                 1.4423,                 1.5091,                 1.5485,                 1.4075,                 1.8045,                 1.4421,                0.66805,                0.57073,                0.64333,                0.37638,                 1.4326,                 1.3997,                 1.5712,                 1.3953,                 1.5391,                 1.5326,               0.000637,               0.000637,               0.000637
                     25,                 1.3943,                 1.4654,                 1.5263,                 1.3753,                 1.7507,                 1.4385,                0.75138,                0.58543,                0.64764,                0.37426,                 1.4818,                 1.2577,                 1.6716,                  1.285,                 1.6567,                 1.4367,              0.0006205,              0.0006205,              0.0006205
